,reward,actions,seed,runtime,true_reward,expected_reward
0,3.5095755777936857,4.9222,12.0,0.001303125,3.8948465412716033,3.5095755777936857
1,3.5270215553435613,4.9086,13.0,0.0012953125,3.921714597992517,3.5270215553435613
2,3.4988250760671,4.9246,14.0,0.0013078125,3.610338614566392,3.4988250760671
3,3.5107916849365766,4.9127,15.0,0.0014734375,3.5742976085868845,3.5107916849365766
4,3.4997573497543226,4.9218,16.0,0.0014203125,3.2228831777378892,3.4997573497543226
5,3.5726228591388134,4.9146,17.0,0.0014203125,4.224300185658353,3.5726228591388134
6,3.544298856641811,4.9184,18.0,0.0013671875,3.6761182816980194,3.544298856641811
7,3.5374512076051707,4.9148,19.0,0.0014140625,3.9527357462473667,3.5374512076051707
8,3.5178146308217095,4.9179,20.0,0.00144375,3.435967822754521,3.5178146308217095
9,3.502410195848932,4.9111,21.0,0.00136875,3.539911296965467,3.502410195848932
